,Property Name,Year Built
0,10 Buick Street,2000
1,100 Ashford Street,2002
2,100 Bay State Road,2012
3,100 Bay State Road,2012
4,10-18 Buswell Street,1924
5,110-112 Cummington Street,1923
6,111 Cummington Street (664-666 Comm. Ave),1911
7,120 Ashford Street,1958
8,140 Bay State Road,1958
9,2 Cummington Street (23-25 Blandford Street),1905
10,20-28 Cummington Street (24 Cummington St),1983
11,213-217 Bay State Road,2003
12,22-24 Buswell Street,1914
13,25 Buick Street,1928
14,"285 Babcock, Case Center",1972
15,300 Babcock Street,1986
16,30-38 Cummington Street,1917
17,33 Harry Agganis Way,2008
18,40-48 Buswell Street,1896
19,512 Beacon Street,1926
20,514-522 Park Drive,1915
21,560 Harrison Ave,1902
22,565-575 Commonwealth Avenue,1992
23,577-599 Commonwealth Avenue (595 Comm Ave),1996
24,580 Commonwealth Avenue,2004
25,580 Harrison Ave,1887
26,582-596 Commonwealth Avenue (590 Comm / 712 Bea),1983
27,605-615 Commonwealth Avenue (2 Silber Way),1981
28,610 Beacon Street (30 Bay State Road),1926
29,622-640 Commonwealth Avenue,1902
30,631-639 Commonwealth Avenue,1957
31,64-86 Cummington Street,1909
32,660 Beacon Street,1909
33,664 Malvern Street,1962
34,6-8 St. Mary's Street,1997
35,700 Commonwealth Avenue,1966
36,710 Albany Street,2000
37,722-728 Commonwealth Avenue,1974
38,785 Commonwealth Avenue (1 University Road),1931
39,855 Commonwealth Avenue,1919
40,871 Commonwealth Avenue,1926
41,881 Commonwealth Avenue,1915
42,91 Bay State Road,1923
43,915 Commonwealth Avenue,2004
44,925 Commonwealth Avenue,2004
45,983-985 Commonwealth Avenue,1981
46,Hotel Commonwealth,2003
